Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Investments,Number of Lead Investments,Number of Portfolio Organizations,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Indra,https://www.crunchbase.com/organization/indra,,"Consulting, CRM, Information Services, Information Technology, Security, Service Industry","Madrid, Madrid, Spain","Indra is a technology and consulting company that offers solutions in information technology, defense, security, and transportation.","5,890","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1993-01-01,year,2001-01-19,day,For Profit,http://www.indracompany.com,1,,,,1,,4,2,3,,,"Information Technology, Other, Privacy and Security, Professional Services, Sales and Marketing, Software",,,10001+,3,IPO,2026-02-16,,,,Post-IPO Equity,,,,Post-IPO Equity,268000000,EUR,291945676,653000000,EUR,738828696,"European Investment Bank, JP Morgan Chase, Third Point","European Investment Bank, JP Morgan Chase, Third Point",3,3
Telecom Italia,https://www.crunchbase.com/organization/telecom-italia,,"Information Services, Information Technology, Telecommunications, Web Hosting","Roma, Lazio, Italy",Telecom Italia is an ICT group that develops infrastructure and offers fixed telephony and DSL data services.,"7,424","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1908-10-20,day,1987-02-13,day,For Profit,https://www.gruppotim.it,14,,,,1,,12,3,11,,,"Hardware, Information Technology, Internet Services",,,10001+,9,IPO,2025-09-23,500000000,EUR,590772837,Post-IPO Debt,,,,Post-IPO Equity,4500000,EUR,6182958,3764891641,USD,3764891641,"European Investment Bank, European Investment Fund, CPP Investments, Poste Italiane","CPP Investments, European Investment Bank, European Investment Fund, Poste Italiane",4,4
FICO,https://www.crunchbase.com/organization/fair-isaac-corporation,,"Analytics, Big Data, Collection Agency, Consulting, Financial Services, Fraud Detection, Predictive Analytics, Software","Bozeman, Montana, United States","Fair Isaac Corporation enables businesses to automate, improve, and connect decisions to enhance business performance.","8,387",Western US,Active,1956-01-01,year,2003-01-10,day,For Profit,http://www.fico.com,2,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Privacy and Security, Professional Services, Software","Earl Judson Isaac, William Fair",2,1001-5000,2,M&A,2026-03-11,1000000000,USD,1000000000,Post-IPO Debt,,,,,,,,2500000000,USD,2500000000,,,,
Thales Group,https://www.crunchbase.com/organization/thales-group,,"Aerospace, Cyber Security, Industrial Manufacturing, Military, Remote Sensing, Security, Transportation","Paris, Ile-de-France, France","Thales is a technology in the aerospace, transportation and defense and security markets.","9,358","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1893-01-01,day,1999-04-01,day,For Profit,http://www.thalesgroup.com,11,,,1,1,2,8,2,7,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation",Chantell Johnson,1,10001+,1,IPO,2025-09-17,450000000,EUR,532103583,Post-IPO Debt,,,,,,,,450000000,EUR,532103583,European Investment Bank,European Investment Bank,1,1
Rheinmetall,https://www.crunchbase.com/organization/rheinmetall,,"Aerospace, Manufacturing, Retail","Düsseldorf, Nordrhein-Westfalen, Germany",Rheinmetall specializes in security and mobility solutions.,"9,928","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1889-01-01,year,1894-11-14,day,For Profit,http://www.rheinmetall.com,2,,,,,,1,1,1,,,"Commerce and Shopping, Manufacturing, Science and Engineering",Heinrich Ehrhardt,1,10001+,2,IPO,2023-01-31,1000000000,EUR,1086067599,Post-IPO Debt,,,,,,,,1086092599,USD,1086092599,Maine Technology Institute,Maine Technology Institute,1,1
Saab,https://www.crunchbase.com/organization/saab,,"Aerospace, Automotive, Information Technology, Manufacturing, National Security, Security","Stockholm, Stockholms Lan, Sweden","Saab serves the global market with products, services, and solutions from military defence to civil security.","11,189","European Union (EU), Nordic Countries, Scandinavia",Active,1937-04-02,day,2004-10-08,day,For Profit,https://www.saab.com,6,,,,,,6,1,4,,,"Government and Military, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation","Axel Wenner-Gren, Marcus Wallenberg Jr., Sven Wingqvist",3,10001+,4,IPO,2025-12-18,1200000000,SEK,129268277,Post-IPO Debt,120000000,ZAR,10120894,Post-IPO Equity,120000000,ZAR,10120894,150658399,USD,150658399,"Nordic Investment Bank, Sekunjalo Group, Canada's Ocean Supercluster, Vinnova, African Equity Empowerment Investments (AEEI)","African Equity Empowerment Investments (AEEI), Canada's Ocean Supercluster, Nordic Investment Bank, Vinnova",4,5
Singtel,https://www.crunchbase.com/organization/singtel,,"Communications Infrastructure, Enterprise Applications, Internet, Mobile, Telecommunications","Singapore, Central Region, Singapore","Singtel is a telecommunications company that provides mobile, fixed-line, broadband internet, and television services.","11,318","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,1879-01-01,year,1993-11-01,day,For Profit,https://www.singtel.com,6,,,4,9,,18,2,14,,,"Apps, Hardware, Internet Services, Mobile, Software",,,10001+,3,IPO,2025-02-07,643000000,SGD,475099749,Post-IPO Debt,807000000,USD,807000000,Private Equity,807000000,USD,807000000,1682044430,USD,1682044430,"HSBC, Standard Chartered Bank, DBS Bank, Kohlberg Kravis Roberts & Co., United Overseas Bank",Kohlberg Kravis Roberts & Co.,1,6
AMD,https://www.crunchbase.com/organization/amd,,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Embedded Systems, GPU, Hardware, Semiconductor","Santa Clara, California, United States","Advanced Micro Devices is a semiconductor company that designs and develops graphics units, processors, and media solutions.","12,727","San Francisco Bay Area, Silicon Valley, West Coast",Active,1969-05-01,day,1972-09-27,day,For Profit,http://www.amd.com,2,,,1,4,3,26,5,24,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software",Jerry Sanders,1,10001+,3,IPO,2025-10-06,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,,,,"OpenAI, KB Securities, Daniel Loeb","Daniel Loeb, OpenAI",2,3
SATLANTIS,https://www.crunchbase.com/organization/satlantis,,"Aerospace, Geospatial, Manufacturing","Bilbao, Pais Vasco, Spain",SATLANTIS designs and manufactures high performance Earth observation payloads for small satellites.,"13,302","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2014-01-01,year,,,For Profit,http://www.satlantis.com/,,,,,,,,,,,,"Data and Analytics, Manufacturing, Navigation and Mapping, Science and Engineering","Juan Tomas Hernani, Rafael Guzman",2,101-250,9,,2022-03-31,,,,Corporate Round,,,,Corporate Round,33000000,EUR,38284878,34717593,EUR,40243177,"Telefonica, Encino Environmental Services, Seed Capital Bizkaia, EISMEA, Enagas Emprende","Enagas, Encino Environmental Services, Fitalent, Orza Investments, Telefonica",5,11
MP Materials,https://www.crunchbase.com/organization/mp-materials,,"Industrial, Mining, Sustainability","Las Vegas, Nevada, United States","MP Materials provides a sustainable, low-cost supply chain of coveted materials that help power the modern economy.","13,927",Western US,Active,2014-01-01,year,2020-11-18,day,For Profit,https://mpmaterials.com,,,,,,,,,,,,"Manufacturing, Natural Resources, Sustainability","James Litinsky, Michael Rosenthal",2,501-1000,9,IPO,2025-08-25,275000000,USD,275000000,Post-IPO Debt,650000000,USD,650000000,Post-IPO Equity,1250000000,USD,1250000000,2383500000,USD,2383500000,"JP Morgan Chase, U.S. Department of Defense, Government of United States of America, Hancock Prospecting, Sahsen Ventures","Chamath Palihapitiya, Department of Defense’s Office of Strategic Capital (OSC), Hancock Prospecting, JP Morgan Chase, Omega Advisors, Slate Path Capital, U.S. Department of Defense",7,9
Teck,https://www.crunchbase.com/organization/teck,,"Mineral, Mining, Mining Technology, Natural Resources, Precious Metals","Vancouver, British Columbia, Canada","Teck is a diversified resource company with business units focused on copper, steelmaking coal, zinc and energy.","16,497",,Active,1913-01-01,year,1998-06-05,day,For Profit,http://www.teck.com/,,,,13,13,,20,8,15,,,"Natural Resources, Sustainability",,,5001-10000,1,M&A,2023-07-12,10000000,USD,10000000,Grant,,,,,,,,10000000,USD,10000000,Government of British Columbia,Government of British Columbia,1,1
Tilde,https://www.crunchbase.com/organization/tilde-6e11,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Natural Language Processing, Software, Speech Recognition, Translation Service, Virtual Assistant","Riga, Riga, Latvia",Tilde develops language technology and localisation solutions that help customers to cross language barriers in the digital age.,"17,522","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1991-09-17,day,,,For Profit,https://www.tilde.com/,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Andrejs Vasiļjevs, Uldis Dzenis",2,101-250,2,,2025-02-03,250000,EUR,258203,Grant,,,,,,,,348800,EUR,363259,"Open Data Incubator for Europe (ODINE), AI-BOOST","AI-BOOST, Open Data Incubator for Europe (ODINE)",2,2
