iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","18,694,086.53","0.30","18,694,086.53","17,753.00","1,053.01","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","18,610,115.58","0.30","18,610,115.58","108,318.00","171.81","United States","NYSE","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","18,288,548.25","0.30","18,288,548.25","26,025.00","702.73","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","18,016,107.00","0.29","18,016,107.00","230,385.00","78.20","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","17,759,736.80","0.29","17,759,736.80","77,270.00","229.84","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","17,580,780.14","0.29","17,580,780.14","91,729.00","191.66","United States","NASDAQ","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","17,445,435.90","0.28","17,445,435.90","62,515.00","279.06","United States","NYSE","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","16,873,418.80","0.27","16,873,418.80","57,080.00","295.61","United States","NASDAQ","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","16,637,718.84","0.27","16,637,718.84","68,333.00","243.48","United States","NYSE","USD","1.00","USD","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","15,733,466.55","0.26","15,733,466.55","672,800.00","23.39","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"NOKIA","NOKIA","Information Technology","Equity","15,561,436.79","0.25","15,561,436.79","1,967,318.00","7.91","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.87","EUR","Jan 01, 1998"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","14,189,441.33","0.23","14,189,441.33","1,280,000.00","11.09","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"6146","DISCO CORP","Information Technology","Equity","14,124,824.38","0.23","14,124,824.38","34,000.00","415.44","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","13,697,303.04","0.22","13,697,303.04","119,648.00","114.48","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","13,381,750.26","0.22","13,381,750.26","38,853.00","344.42","United States","NASDAQ","USD","1.00","USD","-"
