Al,"30/03/2026"
 
Ticker dell'emittente,Nome,Type,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"DCO","DUCOMMUN INC","EQUITY","Industriali","Azionario","1.306.718,90","0,08","1.306.718,90","11.159,00","117,10","Stati Uniti","New York Stock Exchange Inc.","USD"
"USD","USD CASH","CASH","Liquidità e/o derivati","Contanti","1.267.312,15","0,08","1.267.312,15","1.267.312,00","100,00","Stati Uniti","-","USD"
"BSEN","BET SHEMESH ENGINES HOLDINGS LTD","EQUITY","Industriali","Azionario","1.198.847,59","0,08","1.198.847,59","5.512,00","217,50","Israele","Tel Aviv Stock Exchange","ILS"
"VVX","V2X INC","EQUITY","Industriali","Azionario","1.117.731,55","0,07","1.117.731,55","16.705,00","66,91","Stati Uniti","New York Stock Exchange Inc.","USD"
"EXA","EXAIL TECHNOLOGIES SA","EQUITY","Industriali","Azionario","1.027.009,78","0,07","1.027.009,78","7.669,00","133,92","Francia","Nyse Euronext - Euronext Paris","EUR"
"AVIO","AVIO","EQUITY","Industriali","Azionario","943.435,34","0,06","943.435,34","25.594,00","36,86","Italia","Borsa Italiana","EUR"
"ASB","AUSTAL LTD","EQUITY","Industriali","Azionario","829.643,23","0,05","829.643,23","251.076,00","3,30","Australia","Asx - All Markets","AUD"
"EUR","EUR CASH","CASH","Liquidità e/o derivati","Contanti","709.298,15","0,05","709.298,15","618.637,00","114,66","Unione Europea","-","EUR"
"CDRE","CADRE HOLDINGS INC","EQUITY","Industriali","Azionario","692.428,40","0,04","692.428,40","23.560,00","29,39","Stati Uniti","New York Stock Exchange Inc.","USD"
"NPK","NATIONAL PRESTO INDUSTRIES INC","EQUITY","Industriali","Azionario","586.488,96","0,04","586.488,96","4.427,00","132,48","Stati Uniti","New York Stock Exchange Inc.","USD"
"186A","ASTROSCALE HOLDINGS INC","EQUITY","Industriali","Azionario","552.830,41","0,04","552.830,41","96.600,00","5,72","Giappone","Tokyo Stock Exchange","JPY"
"099320","SATREC INITIATIVE LTD","EQUITY","Industriali","Azionario","511.597,82","0,03","511.597,82","4.396,00","116,38","Corea","Korea Exchange (Kosdaq)","KRW"
"RDW","REDWIRE CORP","EQUITY","Industriali","Azionario","488.389,95","0,03","488.389,95","63.345,00","7,71","Stati Uniti","New York Stock Exchange Inc.","USD"
"MILDEF","MILDEF GROUP","EQUITY","Industriali","Azionario","477.129,16","0,03","477.129,16","34.875,00","13,68","Svezia","Nasdaq Omx Nordic","SEK"
"464A","QPS HOLDINGS INC","EQUITY","Industriali","Azionario","395.755,16","0,03","395.755,16","29.600,00","13,37","Giappone","Tokyo Stock Exchange","JPY"
"9348","ISPACE INC","EQUITY","Industriali","Azionario","289.470,02","0,02","289.470,02","99.100,00","2,92","Giappone","Tokyo Stock Exchange","JPY"
"003570","SNT DYNAMICS LTD","EQUITY","Industriali","Azionario","189.383,14","0,01","189.383,14","5.770,00","32,82","Corea","Korea Exchange (Stock Market)","KRW"
"MLIFT","CASH COLLATERAL USD MLIFT","CASH","Liquidità e/o derivati","Cash Collateral and Margins","157.000,00","0,01","157.000,00","157.000,00","100,00","Stati Uniti","-","USD"
"BYRN","BYRNA TECHNOLOGIES INC","EQUITY","Industriali","Azionario","153.273,15","0,01","153.273,15","17.319,00","8,85","Stati Uniti","NASDAQ","USD"
"KRW","KRW CASH","CASH","Liquidità e/o derivati","Contanti","134.464,29","0,01","134.464,29","203.814.240,00","0,07","Corea","-","KRW"
"GBP","GBP CASH","CASH","Liquidità e/o derivati","Contanti","119.517,33","0,01","119.517,33","90.554,00","131,99","Regno unito","-","GBP"
"SEK","SEK CASH","CASH","Liquidità e/o derivati","Contanti","103.029,13","0,01","103.029,13","983.516,00","10,48","Svezia","-","SEK"
"NOK","NOK CASH","CASH","Liquidità e/o derivati","Contanti","53.030,44","0,00","53.030,44","518.296,00","10,23","Norvegia","-","NOK"
"AUD","AUD CASH","CASH","Liquidità e/o derivati","Contanti","48.311,53","0,00","48.311,53","70.471,00","68,56","Australia","-","AUD"
"CAD","CAD CASH","CASH","Liquidità e/o derivati","Contanti","46.621,08","0,00","46.621,08","64.899,00","71,84","Canada","-","CAD"
"JPY","JPY CASH","CASH","Liquidità e/o derivati","Contanti","41.529,72","0,00","41.529,72","6.625.444,00","0,63","Giappone","-","JPY"
"SGD","SGD CASH","CASH","Liquidità e/o derivati","Contanti","39.147,94","0,00","39.147,94","50.532,00","77,47","Singapore","-","SGD"
"ILS","ILS CASH","CASH","Liquidità e/o derivati","Contanti","38.537,61","0,00","38.537,61","121.993,00","31,59","Israele","-","ILS"
"QBM6","STOXX 600 INDUS JUN 26","FUTURE","Liquidità e/o derivati","Futures","0,00","0,00","1.107.412,52","19,00","1.165,70","Unione Europea","Eurex Deutschland","EUR"
"IXIM6","XAI INDUSTRIAL JUN 26","FUTURE","Liquidità e/o derivati","Futures","0,00","0,00","1.272.720,00","8,00","1.590,90","-","Chicago Mercantile Exchange","USD"
 
