iShares Global Comm Services ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"5,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","5,511,442.95","0.96","5,511,442.95","29,055.00","189.69","United States","NASDAQ","USD","1.00","USD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","5,142,232.27","0.90","5,142,232.27","371,550.00","13.84","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"VOD","VODAFONE GROUP PLC","Communication","Equity","4,784,877.69","0.83","4,784,877.69","3,264,029.00","1.47","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"Z74","SINGAPORE TELECOMMUNICATIONS LTD","Communication","Equity","4,594,792.78","0.80","4,594,792.78","1,185,300.00","3.88","Singapore","Singapore Exchange","USD","1.29","SGD","-"
"BCE","BCE INC","Communication","Equity","3,931,079.14","0.68","3,931,079.14","155,651.00","25.26","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"OMC","OMNICOM GROUP INC","Communication","Equity","3,876,066.74","0.67","3,876,066.74","52,507.00","73.82","United States","NYSE","USD","1.00","USD","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","3,840,478.47","0.67","3,840,478.47","26,357.00","145.71","United States","NYSE","USD","1.00","USD","-"
"AMXB","AMERICA MOVIL B","Communication","Equity","3,758,433.35","0.65","3,758,433.35","3,016,285.00","1.25","Mexico","Bolsa Mexicana De Valores","USD","18.03","MXN","-"
"SCMN","SWISSCOM AG","Communication","Equity","3,551,212.05","0.62","3,551,212.05","4,237.00","838.14","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"KPN","KONINKLIJKE KPN NV","Communication","Equity","3,482,233.23","0.61","3,482,233.23","638,766.00","5.45","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"035420","NAVER CORP","Communication","Equity","3,318,622.42","0.58","3,318,622.42","23,563.00","140.84","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"T","TELUS","Communication","Equity","3,301,430.22","0.57","3,301,430.22","258,491.00","12.77","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","3,149,260.94","0.55","3,149,260.94","14,371.00","219.14","United States","NASDAQ","USD","1.00","USD","-"
"UMG","UNIVERSAL MUSIC GROUP NV","Communication","Equity","3,127,189.48","0.54","3,127,189.48","174,507.00","17.92","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"PUB","PUBLICIS GROUPE SA","Communication","Equity","2,984,589.12","0.52","2,984,589.12","37,787.00","78.98","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"CLNX","CELLNEX TELECOM","Communication","Equity","2,884,329.26","0.50","2,884,329.26","94,513.00","30.52","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"TEF","TELEFONICA SA","Communication","Equity","2,802,778.17","0.49","2,802,778.17","662,544.00","4.23","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","2,801,605.64","0.49","2,801,605.64","476,200.00","5.88","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","2,609,276.08","0.45","2,609,276.08","22,648.00","115.21","United States","NASDAQ","USD","1.00","USD","-"
"BT.A","BT GROUP PLC","Communication","Equity","2,573,621.29","0.45","2,573,621.29","948,304.00","2.71","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","2,482,412.52","0.43","2,482,412.52","64,461.00","38.51","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"INF","INFORMA PLC","Communication","Equity","2,126,020.98","0.37","2,126,020.98","214,316.00","9.92","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"9766","KONAMI GROUP CORP","Communication","Equity","2,096,056.70","0.36","2,096,056.70","17,100.00","122.58","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"TKO","TKO GROUP HOLDINGS INC CLASS A","Communication","Equity","2,093,687.20","0.36","2,093,687.20","11,066.00","189.20","United States","NYSE","USD","1.00","USD","-"
"FOXA","FOX CORP CLASS A","Communication","Equity","1,979,416.57","0.34","1,979,416.57","33,487.00","59.11","United States","NASDAQ","USD","1.00","USD","-"
"TELIA","TELIA COMPANY","Communication","Equity","1,941,250.75","0.34","1,941,250.75","387,257.00","5.01","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"TEL2 B","TELE2 B","Communication","Equity","1,852,290.21","0.32","1,852,290.21","92,524.00","20.02","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"TEL","TELENOR","Communication","Equity","1,795,228.76","0.31","1,795,228.76","105,070.00","17.09","Norway","Oslo Bors Asa","USD","9.73","NOK","-"
"TTD","TRADE DESK INC CLASS A","Communication","Equity","1,564,080.00","0.27","1,564,080.00","73,500.00","21.28","United States","NASDAQ","USD","1.00","USD","-"
"NWSA","NEWS CORP CLASS A","Communication","Equity","1,497,910.80","0.26","1,497,910.80","61,795.00","24.24","United States","NASDAQ","USD","1.00","USD","-"
"TIT","TELECOM ITALIA","Communication","Equity","1,308,886.40","0.23","1,308,886.40","1,919,150.00","0.68","Italy","Borsa Italiana","USD","0.87","EUR","-"
"FOX","FOX CORP CLASS B","Communication","Equity","1,260,942.36","0.22","1,260,942.36","23,622.00","53.38","United States","NASDAQ","USD","1.00","USD","-"
"3659","NEXON LTD","Communication","Equity","1,259,809.55","0.22","1,259,809.55","67,600.00","18.64","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"ELISA","ELISA","Communication","Equity","1,167,865.80","0.20","1,167,865.80","24,022.00","48.62","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.87","EUR","-"
"4689","LY CORP","Communication","Equity","993,156.70","0.17","993,156.70","412,900.00","2.41","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"CAR","CAR GROUP LTD","Communication","Equity","983,011.61","0.17","983,011.61","63,171.00","15.56","Australia","Asx - All Markets","USD","1.45","AUD","-"
"VIV","TELEFONICA BRASIL ADS REPRESENTING","Communication","Equity","944,554.50","0.16","944,554.50","61,938.00","15.25","Brazil","NYSE","USD","1.00","USD","-"
"REA","REA GROUP LTD","Communication","Equity","878,862.13","0.15","878,862.13","8,381.00","104.86","Australia","Asx - All Markets","USD","1.45","AUD","-"
"AUTO","AUTOTRADER GROUP PLC","Communication","Equity","828,847.52","0.14","828,847.52","139,423.00","5.94","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"TITR","TELECOM ITALIA S.P.A.","Communication","Equity","816,061.12","0.14","816,061.12","1,006,187.00","0.81","Italy","Borsa Italiana","USD","0.87","EUR","-"
"RMV","RIGHTMOVE PLC","Communication","Equity","698,789.62","0.12","698,789.62","127,277.00","5.49","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"4324","DENTSU GROUP INC","Communication","Equity","625,608.04","0.11","625,608.04","36,800.00","17.00","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"NWS","NEWS CORP CLASS B","Communication","Equity","566,832.63","0.10","566,832.63","20,397.00","27.79","United States","NASDAQ","USD","1.00","USD","-"
"WPP","WPP PLC","Communication","Equity","556,930.21","0.10","556,930.21","180,079.00","3.09","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
